id,symbol,indicator,signal,date
1,GOOGL,rsi,Hold,2015-01-04
2,GOOGL,macd,Buy,2015-01-04
3,GOOGL,bollinger,Hold,2015-01-04
4,GOOGL,ma-cross,Sell,2015-01-04
5,GOOGL,dmi,Sell,2015-01-04
6,GOOGL,mfi,Hold,2015-01-04
7,GOOGL,trendline,Buy,2015-01-04
8,GOOGL,rsi,Hold,2015-01-11
9,GOOGL,macd,Sell,2015-01-11
10,GOOGL,bollinger,Hold,2015-01-11
11,GOOGL,ma-cross,Sell,2015-01-11
12,GOOGL,dmi,Sell,2015-01-11
13,GOOGL,mfi,Hold,2015-01-11
14,GOOGL,trendline,Sell,2015-01-11
15,GOOGL,rsi,Hold,2015-01-18
16,GOOGL,macd,Sell,2015-01-18
17,GOOGL,bollinger,Hold,2015-01-18
18,GOOGL,ma-cross,Sell,2015-01-18
19,GOOGL,dmi,Sell,2015-01-18
20,GOOGL,mfi,Hold,2015-01-18
21,GOOGL,trendline,Sell,2015-01-18
22,GOOGL,rsi,Hold,2015-01-25
23,GOOGL,macd,Buy,2015-01-25
24,GOOGL,bollinger,Hold,2015-01-25
25,GOOGL,ma-cross,Sell,2015-01-25
26,GOOGL,dmi,Buy,2015-01-25
27,GOOGL,mfi,Hold,2015-01-25
28,GOOGL,trendline,Buy,2015-01-25
29,GOOGL,rsi,Hold,2015-02-01
30,GOOGL,macd,Buy,2015-02-01
31,GOOGL,bollinger,Hold,2015-02-01
32,GOOGL,ma-cross,Sell,2015-02-01
33,GOOGL,dmi,Buy,2015-02-01
34,GOOGL,mfi,Hold,2015-02-01
35,GOOGL,trendline,Buy,2015-02-01
36,GOOGL,rsi,Hold,2015-02-08
37,GOOGL,macd,Buy,2015-02-08
38,GOOGL,bollinger,Hold,2015-02-08
39,GOOGL,ma-cross,Sell,2015-02-08
40,GOOGL,dmi,Buy,2015-02-08
41,GOOGL,mfi,Hold,2015-02-08
42,GOOGL,trendline,Buy,2015-02-08
43,GOOGL,rsi,Hold,2015-02-15
44,GOOGL,macd,Buy,2015-02-15
45,GOOGL,bollinger,Hold,2015-02-15
46,GOOGL,ma-cross,Sell,2015-02-15
47,GOOGL,dmi,Buy,2015-02-15
48,GOOGL,mfi,Hold,2015-02-15
49,GOOGL,trendline,Buy,2015-02-15
50,GOOGL,rsi,Hold,2015-02-22
51,GOOGL,macd,Buy,2015-02-22
52,GOOGL,bollinger,Hold,2015-02-22
53,GOOGL,ma-cross,Sell,2015-02-22
54,GOOGL,dmi,Buy,2015-02-22
55,GOOGL,mfi,Hold,2015-02-22
56,GOOGL,trendline,Buy,2015-02-22
57,GOOGL,rsi,Hold,2015-03-01
58,GOOGL,macd,Buy,2015-03-01
59,GOOGL,bollinger,Sell,2015-03-01
60,GOOGL,ma-cross,Sell,2015-03-01
61,GOOGL,dmi,Buy,2015-03-01
