id,symbol,indicator,signal,date
1,NVDA,rsi,Hold,2015-01-04
2,NVDA,macd,Sell,2015-01-04
3,NVDA,bollinger,Hold,2015-01-04
4,NVDA,ma-cross,Buy,2015-01-04
5,NVDA,dmi,Sell,2015-01-04
6,NVDA,mfi,Hold,2015-01-04
7,NVDA,trendline,Sell,2015-01-04
8,NVDA,rsi,Hold,2015-01-11
9,NVDA,macd,Sell,2015-01-11
10,NVDA,bollinger,Hold,2015-01-11
11,NVDA,ma-cross,Buy,2015-01-11
12,NVDA,dmi,Sell,2015-01-11
13,NVDA,mfi,Hold,2015-01-11
14,NVDA,trendline,Sell,2015-01-11
15,NVDA,rsi,Hold,2015-01-18
16,NVDA,macd,Sell,2015-01-18
17,NVDA,bollinger,Hold,2015-01-18
18,NVDA,ma-cross,Buy,2015-01-18
19,NVDA,dmi,Sell,2015-01-18
20,NVDA,mfi,Hold,2015-01-18
21,NVDA,trendline,Sell,2015-01-18
22,NVDA,rsi,Hold,2015-01-25
23,NVDA,macd,Buy,2015-01-25
24,NVDA,bollinger,Hold,2015-01-25
25,NVDA,ma-cross,Buy,2015-01-25
26,NVDA,dmi,Buy,2015-01-25
27,NVDA,mfi,Hold,2015-01-25
28,NVDA,trendline,Buy,2015-01-25
29,NVDA,rsi,Hold,2015-02-01
30,NVDA,macd,Sell,2015-02-01
31,NVDA,bollinger,Hold,2015-02-01
32,NVDA,ma-cross,Buy,2015-02-01
33,NVDA,dmi,Sell,2015-02-01
34,NVDA,mfi,Hold,2015-02-01
35,NVDA,trendline,Sell,2015-02-01
36,NVDA,rsi,Hold,2015-02-08
37,NVDA,macd,Buy,2015-02-08
38,NVDA,bollinger,Hold,2015-02-08
39,NVDA,ma-cross,Buy,2015-02-08
40,NVDA,dmi,Buy,2015-02-08
41,NVDA,mfi,Hold,2015-02-08
42,NVDA,trendline,Buy,2015-02-08
43,NVDA,rsi,Sell,2015-02-15
44,NVDA,macd,Buy,2015-02-15
45,NVDA,bollinger,Sell,2015-02-15
46,NVDA,ma-cross,Buy,2015-02-15
47,NVDA,dmi,Buy,2015-02-15
48,NVDA,mfi,Hold,2015-02-15
49,NVDA,trendline,Buy,2015-02-15
50,NVDA,rsi,Hold,2015-02-22
51,NVDA,macd,Buy,2015-02-22
52,NVDA,bollinger,Hold,2015-02-22
53,NVDA,ma-cross,Buy,2015-02-22
54,NVDA,dmi,Buy,2015-02-22
55,NVDA,mfi,Hold,2015-02-22
56,NVDA,trendline,Buy,2015-02-22
57,NVDA,rsi,Hold,2015-03-01
58,NVDA,macd,Buy,2015-03-01
59,NVDA,bollinger,Hold,2015-03-01
60,NVDA,ma-cross,Buy,2015-03-01
61,NVDA,dmi,Buy,2015-03-01
62,NVDA,mfi,Hold,2015-03-01
63,NVDA,trendline,Buy,2015-03-01
64,NVDA,rsi,Hold,2015-03-08
65,NVDA,macd,Buy,2015-03-08
66,NVDA,bollinger,Hold,2015-03-08
67,NVDA,ma-cross,Buy,2015-03-08
68,NVDA,dmi,Buy,2015-03-08
69,NVDA,mfi,Hold,2015-03-08
70,NVDA,trendline,Buy,2015-03-08
71,NVDA,rsi,Hold,2015-03-15
72,NVDA,macd,Sell,2015-03-15
73,NVDA,bollinger,Hold,2015-03-15
74,NVDA,ma-cross,Buy,2015-03-15
75,NVDA,dmi,Buy,2015-03-15
76,NVDA,mfi,Hold,2015-03-15
77,NVDA,trendline,Buy,2015-03-15
78,NVDA,rsi,Hold,2015-03-22
79,NVDA,macd,Sell,2015-03-22
80,NVDA,bollinger,Sell,2015-03-22
81,NVDA,ma-cross,Buy,2015-03-22
82,NVDA,dmi,Buy,2015-03-22
83,NVDA,mfi,Hold,2015-03-22
84,NVDA,trendline,Buy,2015-03-22
85,NVDA,rsi,Hold,2015-03-29
86,NVDA,macd,Sell,2015-03-29
87,NVDA,bollinger,Hold,2015-03-29
88,NVDA,ma-cross,Buy,2015-03-29
89,NVDA,dmi,Sell,2015-03-29
90,NVDA,mfi,Hold,2015-03-29
91,NVDA,trendline,Sell,2015-03-29
92,NVDA,rsi,Hold,2015-04-05
93,NVDA,macd,Sell,2015-04-05
94,NVDA,bollinger,Hold,2015-04-05
95,NVDA,ma-cross,Buy,2015-04-05
96,NVDA,dmi,Sell,2015-04-05
97,NVDA,mfi,Hold,2015-04-05
98,NVDA,trendline,Sell,2015-04-05
99,NVDA,rsi,Hold,2015-04-12
100,NVDA,macd,Buy,2015-04-12
101,NVDA,bollinger,Hold,2015-04-12
102,NVDA,ma-cross,Buy,2015-04-12
103,NVDA,dmi,Buy,2015-04-12
104,NVDA,mfi,Hold,2015-04-12
105,NVDA,trendline,Buy,2015-04-12
106,NVDA,rsi,Hold,2015-04-19
107,NVDA,macd,Buy,2015-04-19
108,NVDA,bollinger,Hold,2015-04-19
109,NVDA,ma-cross,Buy,2015-04-19
110,NVDA,dmi,Buy,2015-04-19
111,NVDA,mfi,Hold,2015-04-19
112,NVDA,trendline,Buy,2015-04-19
113,NVDA,rsi,Hold,2015-04-26
114,NVDA,macd,Sell,2015-04-26
115,NVDA,bollinger,Hold,2015-04-26
116,NVDA,ma-cross,Buy,2015-04-26
117,NVDA,dmi,Sell,2015-04-26
118,NVDA,mfi,Hold,2015-04-26
119,NVDA,trendline,Buy,2015-04-26
120,NVDA,rsi,Hold,2015-05-03
121,NVDA,macd,Buy,2015-05-03
122,NVDA,bollinger,Hold,2015-05-03
123,NVDA,ma-cross,Buy,2015-05-03
124,NVDA,dmi,Buy,2015-05-03
125,NVDA,mfi,Hold,2015-05-03
126,NVDA,trendline,Buy,2015-05-03
127,NVDA,rsi,Hold,2015-05-10
128,NVDA,macd,Sell,2015-05-10
129,NVDA,bollinger,Buy,2015-05-10
130,NVDA,ma-cross,Buy,2015-05-10
131,NVDA,dmi,Sell,2015-05-10
132,NVDA,mfi,Hold,2015-05-10
133,NVDA,trendline,Sell,2015-05-10
134,NVDA,rsi,Hold,2015-05-17
135,NVDA,macd,Sell,2015-05-17
136,NVDA,bollinger,Hold,2015-05-17
137,NVDA,ma-cross,Buy,2015-05-17
138,NVDA,dmi,Sell,2015-05-17
139,NVDA,mfi,Hold,2015-05-17
140,NVDA,trendline,Sell,2015-05-17
141,NVDA,rsi,Hold,2015-05-24
142,NVDA,macd,Sell,2015-05-24
143,NVDA,bollinger,Hold,2015-05-24
144,NVDA,ma-cross,Buy,2015-05-24
145,NVDA,dmi,Sell,2015-05-24
146,NVDA,mfi,Hold,2015-05-24
147,NVDA,trendline,Sell,2015-05-24
148,NVDA,rsi,Hold,2015-05-31
149,NVDA,macd,Buy,2015-05-31
150,NVDA,bollinger,Hold,2015-05-31
151,NVDA,ma-cross,Buy,2015-05-31
152,NVDA,dmi,Buy,2015-05-31
153,NVDA,mfi,Hold,2015-05-31
154,NVDA,trendline,Buy,2015-05-31
155,NVDA,rsi,Hold,2015-06-07
156,NVDA,macd,Buy,2015-06-07
157,NVDA,bollinger,Hold,2015-06-07
158,NVDA,ma-cross,Buy,2015-06-07
159,NVDA,dmi,Buy,2015-06-07
160,NVDA,mfi,Hold,2015-06-07
161,NVDA,trendline,Buy,2015-06-07
162,NVDA,rsi,Hold,2015-06-14
163,NVDA,macd,Sell,2015-06-14
164,NVDA,bollinger,Hold,2015-06-14
165,NVDA,ma-cross,Buy,2015-06-14
166,NVDA,dmi,Sell,2015-06-14
167,NVDA,mfi,Hold,2015-06-14
168,NVDA,trendline,Sell,2015-06-14
169,NVDA,rsi,Hold,2015-06-21
170,NVDA,macd,Buy,2015-06-21
171,NVDA,bollinger,Hold,2015-06-21
172,NVDA,ma-cross,Buy,2015-06-21
173,NVDA,dmi,Buy,2015-06-21
174,NVDA,mfi,Hold,2015-06-21
175,NVDA,trendline,Buy,2015-06-21
176,NVDA,rsi,Hold,2015-06-28
177,NVDA,macd,Sell,2015-06-28
178,NVDA,bollinger,Hold,2015-06-28
179,NVDA,ma-cross,Buy,2015-06-28
180,NVDA,dmi,Sell,2015-06-28
181,NVDA,mfi,Hold,2015-06-28
182,NVDA,trendline,Sell,2015-06-28
183,NVDA,rsi,Hold,2015-07-05
184,NVDA,macd,Sell,2015-07-05
185,NVDA,bollinger,Hold,2015-07-05
186,NVDA,ma-cross,Buy,2015-07-05
187,NVDA,dmi,Sell,2015-07-05
188,NVDA,mfi,Hold,2015-07-05
189,NVDA,trendline,Sell,2015-07-05
190,NVDA,rsi,Hold,2015-07-12
191,NVDA,macd,Sell,2015-07-12
192,NVDA,bollinger,Hold,2015-07-12
193,NVDA,ma-cross,Sell,2015-07-12
194,NVDA,dmi,Sell,2015-07-12
195,NVDA,mfi,Buy,2015-07-12
196,NVDA,trendline,Sell,2015-07-12
197,NVDA,rsi,Hold,2015-07-19
198,NVDA,macd,Buy,2015-07-19
199,NVDA,bollinger,Hold,2015-07-19
200,NVDA,ma-cross,Sell,2015-07-19
201,NVDA,dmi,Sell,2015-07-19
202,NVDA,mfi,Hold,2015-07-19
203,NVDA,trendline,Sell,2015-07-19
204,NVDA,rsi,Hold,2015-07-26
205,NVDA,macd,Buy,2015-07-26
206,NVDA,bollinger,Hold,2015-07-26
207,NVDA,ma-cross,Sell,2015-07-26
208,NVDA,dmi,Sell,2015-07-26
209,NVDA,mfi,Hold,2015-07-26
210,NVDA,trendline,Sell,2015-07-26
211,NVDA,rsi,Hold,2015-08-02
212,NVDA,macd,Buy,2015-08-02
213,NVDA,bollinger,Hold,2015-08-02
214,NVDA,ma-cross,Sell,2015-08-02
215,NVDA,dmi,Sell,2015-08-02
216,NVDA,mfi,Hold,2015-08-02
217,NVDA,trendline,Buy,2015-08-02
218,NVDA,rsi,Sell,2015-08-09
219,NVDA,macd,Buy,2015-08-09
220,NVDA,bollinger,Sell,2015-08-09
221,NVDA,ma-cross,Sell,2015-08-09
222,NVDA,dmi,Buy,2015-08-09
223,NVDA,mfi,Hold,2015-08-09
224,NVDA,trendline,Buy,2015-08-09
225,NVDA,rsi,Sell,2015-08-16
226,NVDA,macd,Buy,2015-08-16
227,NVDA,bollinger,Hold,2015-08-16
228,NVDA,ma-cross,Buy,2015-08-16
229,NVDA,dmi,Buy,2015-08-16
230,NVDA,mfi,Hold,2015-08-16
231,NVDA,trendline,Buy,2015-08-16
232,NVDA,rsi,Hold,2015-08-23
233,NVDA,macd,Sell,2015-08-23
234,NVDA,bollinger,Hold,2015-08-23
235,NVDA,ma-cross,Buy,2015-08-23
236,NVDA,dmi,Sell,2015-08-23
237,NVDA,mfi,Hold,2015-08-23
238,NVDA,trendline,Sell,2015-08-23
239,NVDA,rsi,Hold,2015-08-30
240,NVDA,macd,Sell,2015-08-30
241,NVDA,bollinger,Hold,2015-08-30
242,NVDA,ma-cross,Buy,2015-08-30
243,NVDA,dmi,Sell,2015-08-30
244,NVDA,mfi,Hold,2015-08-30
